"scenario","method","noise_sigma","kernel_count","cond_sigma_hat","cond_sigma_reg","lambda","method_label"
"set123_vs_set123","multilayer_single_gaussian",0,3,69.4778708673619,69.302894745914,7.82278842882066e-05,"Multilayer Single Gaussian"
"set123_vs_set123","multilayer_single_gaussian",0.2,3,99.2156369871383,98.8620534143645,7.62685314134022e-05,"Multilayer Single Gaussian"
"set123_vs_set123","multilayer_single_gaussian",0.4,3,66.3341139545222,66.1739041833486,5.91216118245893e-05,"Multilayer Single Gaussian"
"set123_vs_set123","multilayer_single_gaussian",0.6,3,36.1462011913701,36.097541340621,4.07918700054382e-05,"Multilayer Single Gaussian"
"set123_vs_set123","multilayer_single_gaussian",0.8,3,26.7573939967399,26.7300012690269,3.10526780750271e-05,"Multilayer Single Gaussian"
"set123_vs_set123","multilayer_single_gaussian",1,3,22.1462223411363,22.1272495545598,2.61704857077703e-05,"Multilayer Single Gaussian"
"set128_vs_set128","multilayer_single_gaussian",0,3,65.205568112309,65.0530895155471,7.27769605293444e-05,"Multilayer Single Gaussian"
"set128_vs_set128","multilayer_single_gaussian",0.2,3,71.9392374940041,71.7545555296126,7.30880508071775e-05,"Multilayer Single Gaussian"
"set128_vs_set128","multilayer_single_gaussian",0.4,3,53.2769876410829,53.1741090801748,5.80067049876718e-05,"Multilayer Single Gaussian"
"set128_vs_set128","multilayer_single_gaussian",0.6,3,35.0014980235523,34.9554621325864,4.0266302004022e-05,"Multilayer Single Gaussian"
"set128_vs_set128","multilayer_single_gaussian",0.8,3,27.4166695568445,27.3881609300414,3.12136913267812e-05,"Multilayer Single Gaussian"
"set128_vs_set128","multilayer_single_gaussian",1,3,22.9519494482991,22.9314393061204,2.65866316900632e-05,"Multilayer Single Gaussian"
