"noise","method","value_old","value_fast","diff_fast_minus_old"
0,"Gauss MMD",0.888,0.888,0
0,"Gauss MMMD",0.8872,0.8872,0
0,"LAP MMD",0.7268,0.7268,0
0,"LAP MMMD",0.8748,0.8748,0
0,"Mixed MMMD",0.8876,0.8876,0
0.2,"Gauss MMD",0.8518,0.8518,0
0.2,"Gauss MMMD",0.8864,0.8864,0
0.2,"LAP MMD",0.5872,0.5872,0
0.2,"LAP MMMD",0.8646,0.8646,0
0.2,"Mixed MMMD",0.8856,0.8856,0
0.4,"Gauss MMD",0.506,0.506,0
0.4,"Gauss MMMD",0.8208,0.8208,0
0.4,"LAP MMD",0.0588,0.0588,0
0.4,"LAP MMMD",0.8238,0.8238,0
0.4,"Mixed MMMD",0.8174,0.8174,0
0.6,"Gauss MMD",0.0408,0.0408,0
0.6,"Gauss MMMD",0.6262,0.6262,0
0.6,"LAP MMD",0,0,0
0.6,"LAP MMMD",0.657,0.657,0
0.6,"Mixed MMMD",0.6258,0.6258,0
0.8,"Gauss MMD",4e-04,4e-04,0
0.8,"Gauss MMMD",0.3396,0.3396,0
0.8,"LAP MMD",0,0,0
0.8,"LAP MMMD",0.3718,0.3718,0
0.8,"Mixed MMMD",0.345,0.345,0
1,"Gauss MMD",0,0,0
1,"Gauss MMMD",0.1652,0.1652,0
1,"LAP MMD",0,0,0
1,"LAP MMMD",0.1852,0.1852,0
1,"Mixed MMMD",0.1664,0.1664,0
