"noise_sigma","method_label","cond_sigma_hat","cond_sigma_reg","lambda"
0,"Layer1 2x2 pooled (128-d)",423020.266119606,41832.8646096641,2.9333287773222e-05
0.2,"Layer1 2x2 pooled (128-d)",316145.534830117,40343.1761853598,2.58529887345936e-05
0.4,"Layer1 2x2 pooled (128-d)",277478.332345366,39129.5967077822,1.67792103315467e-05
0.6,"Layer1 2x2 pooled (128-d)",494919.564653937,41025.151104122,1.13436912116971e-05
0.8,"Layer1 2x2 pooled (128-d)",932464.516560787,42410.1320913843,9.05486844062849e-06
1,"Layer1 2x2 pooled (128-d)",1603268.47033518,43171.8299190024,7.96328002656292e-06
0,"Layer1 GAP (32-d)",60658.7298332199,26369.9363601078,6.17108354193793e-05
0.2,"Layer1 GAP (32-d)",50069.64975691,24118.7030928141,5.88040258988028e-05
0.4,"Layer1 GAP (32-d)",35105.3491067002,19920.2032090767,4.56563072010836e-05
0.6,"Layer1 GAP (32-d)",27708.7992050444,17211.2514549991,3.28528861899385e-05
0.8,"Layer1 GAP (32-d)",26486.3812829447,16672.1701673013,2.53846973984021e-05
1,"Layer1 GAP (32-d)",27412.1454686039,16995.3245312073,2.10632676083274e-05
