"method","noise_sigma","cond_sigma_hat","cond_sigma_reg","lambda","method_label"
"raw_pixel_gaussian5",0,101558582.461149,47002.6274597217,8.76221379573216e-06,"Raw Pixel Gaussian-5 (784-d)"
"raw_pixel_gaussian5",0.2,401545787.532066,46775.0562536183,5.68078940515803e-06,"Raw Pixel Gaussian-5 (784-d)"
"raw_pixel_gaussian5",0.4,43111603990.3191,48379.3483871822,4.03311990222508e-06,"Raw Pixel Gaussian-5 (784-d)"
"raw_pixel_gaussian5",0.6,2829941813696.98,49363.8240536699,3.78540760369835e-06,"Raw Pixel Gaussian-5 (784-d)"
"raw_pixel_gaussian5",0.8,26246711293421.8,49569.8302808412,3.74678860439715e-06,"Raw Pixel Gaussian-5 (784-d)"
"raw_pixel_gaussian5",1,77379498437714.5,49622.9124200483,3.73782891983772e-06,"Raw Pixel Gaussian-5 (784-d)"
"layer1_gaussian5",0,60658.7298332199,26369.9363601078,6.17108354193793e-05,"Layer1 GAP Gaussian-5 (32-d)"
"layer1_gaussian5",0.2,50069.64975691,24118.7030928141,5.88040258988028e-05,"Layer1 GAP Gaussian-5 (32-d)"
"layer1_gaussian5",0.4,35105.3491067002,19920.2032090767,4.56563072010836e-05,"Layer1 GAP Gaussian-5 (32-d)"
"layer1_gaussian5",0.6,27708.7992050444,17211.2514549991,3.28528861899385e-05,"Layer1 GAP Gaussian-5 (32-d)"
"layer1_gaussian5",0.8,26486.3812829447,16672.1701673013,2.53846973984021e-05,"Layer1 GAP Gaussian-5 (32-d)"
"layer1_gaussian5",1,27412.1454686039,16995.3245312073,2.10632676083274e-05,"Layer1 GAP Gaussian-5 (32-d)"
"layer1_pool2x2_gaussian5",0,423020.266119606,41832.8646096641,2.9333287773222e-05,"Layer1 2x2 Gaussian-5 (128-d)"
"layer1_pool2x2_gaussian5",0.2,316145.534830117,40343.1761853598,2.58529887345936e-05,"Layer1 2x2 Gaussian-5 (128-d)"
"layer1_pool2x2_gaussian5",0.4,277478.332345366,39129.5967077822,1.67792103315467e-05,"Layer1 2x2 Gaussian-5 (128-d)"
"layer1_pool2x2_gaussian5",0.6,494919.564653937,41025.151104122,1.13436912116971e-05,"Layer1 2x2 Gaussian-5 (128-d)"
"layer1_pool2x2_gaussian5",0.8,932464.516560787,42410.1320913843,9.05486844062849e-06,"Layer1 2x2 Gaussian-5 (128-d)"
"layer1_pool2x2_gaussian5",1,1603268.47033518,43171.8299190024,7.96328002656292e-06,"Layer1 2x2 Gaussian-5 (128-d)"
"layer2_gaussian5",0,105042.456891896,32799.3150637263,5.97930370519995e-05,"Layer2 GAP Gaussian-5 (64-d)"
"layer2_gaussian5",0.2,90259.4547624779,31146.3169889922,5.74408708528212e-05,"Layer2 GAP Gaussian-5 (64-d)"
"layer2_gaussian5",0.4,57428.2297399705,25772.5899025247,4.08325641558309e-05,"Layer2 GAP Gaussian-5 (64-d)"
"layer2_gaussian5",0.6,41343.9095518679,21660.3927138969,2.46858904385022e-05,"Layer2 GAP Gaussian-5 (64-d)"
"layer2_gaussian5",0.8,46860.9635529098,22857.4488715387,1.72873318080701e-05,"Layer2 GAP Gaussian-5 (64-d)"
"layer2_gaussian5",1,59704.2163432473,25426.9627389338,1.40036188889056e-05,"Layer2 GAP Gaussian-5 (64-d)"
"final_embedding_gaussian5",0,1871904.90907595,47055.5609939172,5.1556113015069e-05,"Final FC Gaussian-5 (128-d)"
"final_embedding_gaussian5",0.2,411213.51928697,42821.1093172493,5.16207623749501e-05,"Final FC Gaussian-5 (128-d)"
"final_embedding_gaussian5",0.4,92678.6371857672,31047.60732983,3.97597607848855e-05,"Final FC Gaussian-5 (128-d)"
"final_embedding_gaussian5",0.6,44070.997869491,22355.4648524213,2.74102113118405e-05,"Final FC Gaussian-5 (128-d)"
"final_embedding_gaussian5",0.8,40679.6854564848,21332.8557325364,2.2678264152964e-05,"Final FC Gaussian-5 (128-d)"
"final_embedding_gaussian5",1,44379.8267754039,22291.2859539893,2.0352369318843e-05,"Final FC Gaussian-5 (128-d)"
"multilayer_single_gaussian",0,68.4686578075394,68.2998386668635,7.72224428204166e-05,"Multilayer Single Gaussian (3 comps)"
"multilayer_single_gaussian",0.2,97.9020709795715,97.5602110539792,7.60554164408966e-05,"Multilayer Single Gaussian (3 comps)"
"multilayer_single_gaussian",0.4,65.843377111837,65.6857787557308,5.89731772135658e-05,"Multilayer Single Gaussian (3 comps)"
"multilayer_single_gaussian",0.6,35.3684966141194,35.3219493878762,4.02197191415939e-05,"Multilayer Single Gaussian (3 comps)"
"multilayer_single_gaussian",0.8,26.9983508317555,26.9702534005343,3.1082905388917e-05,"Multilayer Single Gaussian (3 comps)"
"multilayer_single_gaussian",1,22.5186446449022,22.4989604566418,2.63560693009155e-05,"Multilayer Single Gaussian (3 comps)"
"multilayer_gaussian15",0,8321668.32399097,128234.486624779,5.77419321556941e-05,"Multilayer Gaussian-15 (15 comps)"
"multilayer_gaussian15",0.2,2293574.51713562,123370.528300156,5.59563853846819e-05,"Multilayer Gaussian-15 (15 comps)"
"multilayer_gaussian15",0.4,703297.461742318,106900.446995716,4.20765728921557e-05,"Multilayer Gaussian-15 (15 comps)"
"multilayer_gaussian15",0.6,396052.512997926,91670.8937210095,2.83149855729289e-05,"Multilayer Gaussian-15 (15 comps)"
"multilayer_gaussian15",0.8,380341.634677618,88003.2365372545,2.17667082876193e-05,"Multilayer Gaussian-15 (15 comps)"
"multilayer_gaussian15",1,432550.496473239,88612.874671665,1.84707476811789e-05,"Multilayer Gaussian-15 (15 comps)"
