result_kind,experiment,scenario,setting,label,label_name,n,representation,outer_repetitions,inner_repetitions,independent_tests,rejection_rate,power,type1_error,binomial_se,ci_lower,ci_upper,mean_stat,mean_cutoff,mean_cond_sigma_reg,B_boot,alpha
power,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H1_source_vs_external_color_matched,8,colorectal adenocarcinoma epithelium,20,residual_full,10,20,200,0.14,0.14,,0.024535688292770596,0.09191005094616965,0.18808994905383036,6.837629451723476,13.291074984053864,36188.94836097988,500,0.05
power,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H1_source_vs_external_color_matched,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,10,20,200,0.135,0.135,,0.024163505540380516,0.0876395291408542,0.1823604708591458,6.983277514814907,13.699130015033958,34444.82613817006,500,0.05
power,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H1_source_vs_external_color_matched,8,colorectal adenocarcinoma epithelium,30,residual_full,10,20,200,0.16,0.16,,0.02592296279363144,0.10919099292448238,0.21080900707551764,8.557663029128031,13.417066017256525,32870.082928490134,500,0.05
power,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H1_source_vs_external_color_matched,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca,10,20,200,0.17,0.17,,0.02656124997058685,0.11793995005764979,0.22206004994235023,8.75339162557258,13.687321215894263,31014.552624643933,500,0.05
power,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H1_source_vs_external_color_matched,8,colorectal adenocarcinoma epithelium,50,residual_full,10,20,200,0.455,0.455,,0.035211858797853886,0.3859847567562064,0.5240152432437937,17.49676555206294,13.274791082323011,30215.990575424166,500,0.05
power,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H1_source_vs_external_color_matched,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca,10,20,200,0.455,0.455,,0.035211858797853886,0.3859847567562064,0.5240152432437937,17.942733996181605,13.662625710399642,28339.36803729262,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_full,10,20,200,0.095,,0.095,0.020733427116615334,0.05436248285143395,0.13563751714856606,6.4465017466468995,13.401634355361061,38943.03836540013,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_external,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,10,20,200,0.09,,0.09,0.02023610634484806,0.0503372315640978,0.1296627684359022,7.190015393805644,13.706735528075109,37094.37991776493,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_full,10,20,200,0.11,,0.11,0.022124646889837587,0.06663569209591833,0.15336430790408168,5.808282066981558,13.325129339097803,35322.557095928256,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_external,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca,10,20,200,0.105,,0.105,0.021676600286945368,0.06251386343758708,0.1474861365624129,5.949931542331164,13.600805628764704,33099.21948274055,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_full,10,20,200,0.08,,0.08,0.01918332609325088,0.04240068085722828,0.11759931914277172,5.471229666619882,13.323923227261984,33675.73333415562,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_external,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,5.678768423002982,13.404884850081226,31223.582602108625,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_full,10,20,200,0.07,,0.07,0.01804161855266872,0.03463842763676932,0.1053615723632307,5.5698824265230735,13.479226328193285,34916.839732388595,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_source,8,colorectal adenocarcinoma epithelium,20,residual_top8_pca,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,5.7044447813760994,13.645603443952119,33397.64089484401,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_full,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,5.037083150597508,13.532774207074107,32312.404067365398,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_source,8,colorectal adenocarcinoma epithelium,30,residual_top8_pca,10,20,200,0.06,,0.06,0.016792855623746664,0.027086002977456537,0.09291399702254347,5.155181104609981,13.816875602330533,30785.463281809014,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_full,10,20,200,0.085,,0.085,0.01971991379291502,0.04634896896588657,0.12365103103411344,4.868735807998748,13.329429203146994,29617.233374702864,500,0.05
type1,color_matched_residual_center_shift,label8_source_vs_external_color_matched,H0_source,8,colorectal adenocarcinoma epithelium,50,residual_top8_pca,10,20,200,0.075,,0.075,0.018624580532189176,0.038495822156909214,0.11150417784309077,4.97111438043821,13.540395767354058,28064.691975944945,500,0.05
