"noise_sigma","method_label","power_mean","power_se","n_rep"
0,"Layer1 2x2 pooled (128-d)",0.2206,0.00655947152342829,10
0.2,"Layer1 2x2 pooled (128-d)",0.1832,0.00449394654569406,10
0.4,"Layer1 2x2 pooled (128-d)",0.1538,0.00688605676550649,10
0.6,"Layer1 2x2 pooled (128-d)",0.115,0.00652005453283261,10
0.8,"Layer1 2x2 pooled (128-d)",0.0966,0.00481709917320003,10
1,"Layer1 2x2 pooled (128-d)",0.0788,0.00373809220503365,10
0,"Layer1 GAP (32-d)",0.1366,0.00538351392885931,10
0.2,"Layer1 GAP (32-d)",0.1156,0.00498709445580401,10
0.4,"Layer1 GAP (32-d)",0.075,0.00330991775661504,10
0.6,"Layer1 GAP (32-d)",0.0652,0.00397994974842648,10
0.8,"Layer1 GAP (32-d)",0.069,0.00398050806360751,10
1,"Layer1 GAP (32-d)",0.0624,0.0056,10
