train_label,train_label_name,test_label,test_label_name,representation,axis_method,repeats,mean_auc,sd_auc,mean_accuracy,sd_accuracy,mean_effect_size,sd_effect_size,mean_train_source_n,mean_train_external_n,mean_test_source_n,mean_test_external_n
6,normal colon mucosa,6,normal colon mucosa,residual_full,logistic_regression,20,0.8993030192354518,0.018106947234935614,0.8184684684684684,0.02678291846666727,1.713747796145385,0.1437547166019134,519.0,519.0,222.0,222.0
6,normal colon mucosa,6,normal colon mucosa,residual_full,mean_difference,20,0.795606079052025,0.026715019150810704,0.7277027027027028,0.029164160751033827,1.1769133034429016,0.12952844987415427,519.0,519.0,222.0,222.0
6,normal colon mucosa,6,normal colon mucosa,residual_top8_pca,logistic_regression,20,0.7976402077753428,0.01961373450426958,0.7195945945945946,0.017906542305652293,1.178399951178528,0.08941317661010768,519.0,519.0,222.0,222.0
6,normal colon mucosa,6,normal colon mucosa,residual_top8_pca,mean_difference,20,0.7809086113140167,0.020650055124673068,0.7103603603603603,0.017695066864850267,1.092876454295483,0.09276267096907667,519.0,519.0,222.0,222.0
6,normal colon mucosa,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,20,0.5949107473592743,0.01797077141749969,0.6880314960629921,0.012292351940898878,0.274600975872925,0.08457251399253984,519.0,519.0,2577.0,1233.0
6,normal colon mucosa,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,20,0.6049812726656449,0.011959192166810819,0.6787401574803149,0.005304312282103828,0.37779208313802004,0.04633568922462104,519.0,519.0,2577.0,1233.0
6,normal colon mucosa,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,20,0.6464204842827924,0.009429834969517136,0.6926377952755904,0.005775204311072004,0.5426954606069821,0.043686888026549846,519.0,519.0,2577.0,1233.0
6,normal colon mucosa,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,20,0.6709471867455603,0.021057019580788344,0.6914960629921261,0.007754491837386898,0.6421401412418078,0.07734494688788454,519.0,519.0,2577.0,1233.0
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_full,logistic_regression,20,0.6765150095374038,0.016190650818706583,0.5939171699741157,0.0287153916831523,0.7104151587052054,0.05887058468834345,863.0,863.0,1577.0,741.0
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_full,mean_difference,20,0.5858551615368357,0.007091661250001328,0.5825496117342536,0.004176253520462793,0.26000682200688113,0.03036327759078633,863.0,863.0,1577.0,741.0
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,logistic_regression,20,0.6873309560423667,0.012455907329472028,0.6126402070750647,0.01862867045631925,0.6931667692546414,0.04901254008106988,863.0,863.0,1577.0,741.0
8,colorectal adenocarcinoma epithelium,6,normal colon mucosa,residual_top8_pca,mean_difference,20,0.537347172624014,0.007289921571917687,0.529702329594478,0.008393656894972058,0.1419293621200325,0.02846084200893935,863.0,863.0,1577.0,741.0
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,logistic_regression,20,0.8661464572680788,0.010411801386245992,0.7945945945945946,0.01344934980539942,1.5473844644252093,0.05894340928791192,863.0,863.0,370.0,370.0
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_full,mean_difference,20,0.7358791088385683,0.016168942449811447,0.6811486486486487,0.015335714944481915,0.916643177864432,0.07170971874092731,863.0,863.0,370.0,370.0
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,logistic_regression,20,0.7814002921840759,0.014598981102926269,0.6999324324324325,0.014418321986947832,1.0988575360276036,0.07512106801649969,863.0,863.0,370.0,370.0
8,colorectal adenocarcinoma epithelium,8,colorectal adenocarcinoma epithelium,residual_top8_pca,mean_difference,20,0.7520277574872171,0.01726602109931021,0.6894594594594595,0.013778343834902713,0.9777250783825927,0.07593086531278163,863.0,863.0,370.0,370.0
