"outer_iter","noise_sigma","method","reject_rate","scenario"
1,0,"GAUSS1",0.94,"power"
1,0,"LAP1",0.59,"power"
1,0,"GAUSS5",0.88,"power"
1,0,"LAP5",0.93,"power"
1,0,"MIXED",0.91,"power"
1,0.2,"GAUSS1",0.93,"power"
1,0.2,"LAP1",0.73,"power"
1,0.2,"GAUSS5",0.89,"power"
1,0.2,"LAP5",0.92,"power"
1,0.2,"MIXED",0.91,"power"
1,0.4,"GAUSS1",0.97,"power"
1,0.4,"LAP1",0.8,"power"
1,0.4,"GAUSS5",0.98,"power"
1,0.4,"LAP5",0.99,"power"
1,0.4,"MIXED",0.98,"power"
1,0.6,"GAUSS1",1,"power"
1,0.6,"LAP1",0.91,"power"
1,0.6,"GAUSS5",0.99,"power"
1,0.6,"LAP5",0.99,"power"
1,0.6,"MIXED",0.99,"power"
1,0.8,"GAUSS1",0.93,"power"
1,0.8,"LAP1",0.78,"power"
1,0.8,"GAUSS5",0.86,"power"
1,0.8,"LAP5",0.9,"power"
1,0.8,"MIXED",0.89,"power"
1,1,"GAUSS1",0.64,"power"
1,1,"LAP1",0.45,"power"
1,1,"GAUSS5",0.53,"power"
1,1,"LAP5",0.53,"power"
1,1,"MIXED",0.45,"power"
2,0,"GAUSS1",0.94,"power"
2,0,"LAP1",0.72,"power"
2,0,"GAUSS5",0.89,"power"
2,0,"LAP5",0.94,"power"
2,0,"MIXED",0.9,"power"
2,0.2,"GAUSS1",0.96,"power"
2,0.2,"LAP1",0.61,"power"
2,0.2,"GAUSS5",0.89,"power"
2,0.2,"LAP5",0.95,"power"
2,0.2,"MIXED",0.89,"power"
2,0.4,"GAUSS1",0.97,"power"
2,0.4,"LAP1",0.81,"power"
2,0.4,"GAUSS5",0.96,"power"
2,0.4,"LAP5",0.94,"power"
2,0.4,"MIXED",0.96,"power"
2,0.6,"GAUSS1",0.98,"power"
2,0.6,"LAP1",0.93,"power"
2,0.6,"GAUSS5",0.98,"power"
2,0.6,"LAP5",0.99,"power"
2,0.6,"MIXED",0.98,"power"
2,0.8,"GAUSS1",0.85,"power"
2,0.8,"LAP1",0.64,"power"
2,0.8,"GAUSS5",0.81,"power"
2,0.8,"LAP5",0.82,"power"
2,0.8,"MIXED",0.82,"power"
2,1,"GAUSS1",0.55,"power"
2,1,"LAP1",0.38,"power"
2,1,"GAUSS5",0.42,"power"
2,1,"LAP5",0.47,"power"
2,1,"MIXED",0.43,"power"
3,0,"GAUSS1",0.9,"power"
3,0,"LAP1",0.63,"power"
3,0,"GAUSS5",0.88,"power"
3,0,"LAP5",0.91,"power"
3,0,"MIXED",0.86,"power"
3,0.2,"GAUSS1",0.91,"power"
3,0.2,"LAP1",0.75,"power"
3,0.2,"GAUSS5",0.86,"power"
3,0.2,"LAP5",0.91,"power"
3,0.2,"MIXED",0.89,"power"
3,0.4,"GAUSS1",0.94,"power"
3,0.4,"LAP1",0.78,"power"
3,0.4,"GAUSS5",0.94,"power"
3,0.4,"LAP5",0.96,"power"
3,0.4,"MIXED",0.93,"power"
3,0.6,"GAUSS1",0.97,"power"
3,0.6,"LAP1",0.85,"power"
3,0.6,"GAUSS5",0.98,"power"
3,0.6,"LAP5",0.97,"power"
3,0.6,"MIXED",0.98,"power"
3,0.8,"GAUSS1",0.85,"power"
3,0.8,"LAP1",0.62,"power"
3,0.8,"GAUSS5",0.74,"power"
3,0.8,"LAP5",0.82,"power"
3,0.8,"MIXED",0.76,"power"
3,1,"GAUSS1",0.54,"power"
3,1,"LAP1",0.31,"power"
3,1,"GAUSS5",0.39,"power"
3,1,"LAP5",0.42,"power"
3,1,"MIXED",0.36,"power"
4,0,"GAUSS1",0.97,"power"
4,0,"LAP1",0.75,"power"
4,0,"GAUSS5",0.93,"power"
4,0,"LAP5",0.97,"power"
4,0,"MIXED",0.95,"power"
4,0.2,"GAUSS1",0.96,"power"
4,0.2,"LAP1",0.58,"power"
4,0.2,"GAUSS5",0.87,"power"
4,0.2,"LAP5",0.91,"power"
4,0.2,"MIXED",0.87,"power"
4,0.4,"GAUSS1",0.95,"power"
4,0.4,"LAP1",0.79,"power"
4,0.4,"GAUSS5",0.92,"power"
4,0.4,"LAP5",0.95,"power"
4,0.4,"MIXED",0.89,"power"
4,0.6,"GAUSS1",0.99,"power"
4,0.6,"LAP1",0.88,"power"
4,0.6,"GAUSS5",0.98,"power"
4,0.6,"LAP5",0.99,"power"
4,0.6,"MIXED",0.99,"power"
4,0.8,"GAUSS1",0.92,"power"
4,0.8,"LAP1",0.81,"power"
4,0.8,"GAUSS5",0.9,"power"
4,0.8,"LAP5",0.89,"power"
4,0.8,"MIXED",0.9,"power"
4,1,"GAUSS1",0.57,"power"
4,1,"LAP1",0.39,"power"
4,1,"GAUSS5",0.42,"power"
4,1,"LAP5",0.47,"power"
4,1,"MIXED",0.39,"power"
5,0,"GAUSS1",0.97,"power"
5,0,"LAP1",0.69,"power"
5,0,"GAUSS5",0.96,"power"
5,0,"LAP5",0.98,"power"
5,0,"MIXED",0.95,"power"
5,0.2,"GAUSS1",0.95,"power"
5,0.2,"LAP1",0.74,"power"
5,0.2,"GAUSS5",0.91,"power"
5,0.2,"LAP5",0.94,"power"
5,0.2,"MIXED",0.91,"power"
5,0.4,"GAUSS1",0.95,"power"
5,0.4,"LAP1",0.78,"power"
5,0.4,"GAUSS5",0.95,"power"
5,0.4,"LAP5",0.95,"power"
5,0.4,"MIXED",0.95,"power"
5,0.6,"GAUSS1",0.96,"power"
5,0.6,"LAP1",0.86,"power"
5,0.6,"GAUSS5",0.97,"power"
5,0.6,"LAP5",0.99,"power"
5,0.6,"MIXED",0.98,"power"
5,0.8,"GAUSS1",0.93,"power"
5,0.8,"LAP1",0.81,"power"
5,0.8,"GAUSS5",0.88,"power"
5,0.8,"LAP5",0.92,"power"
5,0.8,"MIXED",0.88,"power"
5,1,"GAUSS1",0.53,"power"
5,1,"LAP1",0.32,"power"
5,1,"GAUSS5",0.44,"power"
5,1,"LAP5",0.45,"power"
5,1,"MIXED",0.41,"power"
6,0,"GAUSS1",0.95,"power"
6,0,"LAP1",0.69,"power"
6,0,"GAUSS5",0.91,"power"
6,0,"LAP5",0.96,"power"
6,0,"MIXED",0.93,"power"
6,0.2,"GAUSS1",0.94,"power"
6,0.2,"LAP1",0.69,"power"
6,0.2,"GAUSS5",0.89,"power"
6,0.2,"LAP5",0.92,"power"
6,0.2,"MIXED",0.9,"power"
6,0.4,"GAUSS1",0.98,"power"
6,0.4,"LAP1",0.89,"power"
6,0.4,"GAUSS5",0.96,"power"
6,0.4,"LAP5",0.98,"power"
6,0.4,"MIXED",0.96,"power"
6,0.6,"GAUSS1",0.99,"power"
6,0.6,"LAP1",0.87,"power"
6,0.6,"GAUSS5",0.99,"power"
6,0.6,"LAP5",1,"power"
6,0.6,"MIXED",0.99,"power"
6,0.8,"GAUSS1",0.85,"power"
6,0.8,"LAP1",0.67,"power"
6,0.8,"GAUSS5",0.78,"power"
6,0.8,"LAP5",0.8,"power"
6,0.8,"MIXED",0.76,"power"
6,1,"GAUSS1",0.65,"power"
6,1,"LAP1",0.44,"power"
6,1,"GAUSS5",0.43,"power"
6,1,"LAP5",0.54,"power"
6,1,"MIXED",0.43,"power"
7,0,"GAUSS1",0.93,"power"
7,0,"LAP1",0.71,"power"
7,0,"GAUSS5",0.92,"power"
7,0,"LAP5",0.93,"power"
7,0,"MIXED",0.93,"power"
7,0.2,"GAUSS1",0.97,"power"
7,0.2,"LAP1",0.7,"power"
7,0.2,"GAUSS5",0.91,"power"
7,0.2,"LAP5",0.98,"power"
7,0.2,"MIXED",0.91,"power"
7,0.4,"GAUSS1",0.96,"power"
7,0.4,"LAP1",0.77,"power"
7,0.4,"GAUSS5",0.94,"power"
7,0.4,"LAP5",0.96,"power"
7,0.4,"MIXED",0.94,"power"
7,0.6,"GAUSS1",0.99,"power"
7,0.6,"LAP1",0.85,"power"
7,0.6,"GAUSS5",0.99,"power"
7,0.6,"LAP5",0.99,"power"
7,0.6,"MIXED",0.98,"power"
7,0.8,"GAUSS1",0.9,"power"
7,0.8,"LAP1",0.76,"power"
7,0.8,"GAUSS5",0.85,"power"
7,0.8,"LAP5",0.85,"power"
7,0.8,"MIXED",0.82,"power"
7,1,"GAUSS1",0.61,"power"
7,1,"LAP1",0.35,"power"
7,1,"GAUSS5",0.41,"power"
7,1,"LAP5",0.5,"power"
7,1,"MIXED",0.43,"power"
8,0,"GAUSS1",0.96,"power"
8,0,"LAP1",0.7,"power"
8,0,"GAUSS5",0.92,"power"
8,0,"LAP5",0.96,"power"
8,0,"MIXED",0.93,"power"
8,0.2,"GAUSS1",0.96,"power"
8,0.2,"LAP1",0.74,"power"
8,0.2,"GAUSS5",0.93,"power"
8,0.2,"LAP5",0.96,"power"
8,0.2,"MIXED",0.93,"power"
8,0.4,"GAUSS1",0.95,"power"
8,0.4,"LAP1",0.74,"power"
8,0.4,"GAUSS5",0.92,"power"
8,0.4,"LAP5",0.96,"power"
8,0.4,"MIXED",0.92,"power"
8,0.6,"GAUSS1",0.96,"power"
8,0.6,"LAP1",0.88,"power"
8,0.6,"GAUSS5",0.97,"power"
8,0.6,"LAP5",0.98,"power"
8,0.6,"MIXED",0.96,"power"
8,0.8,"GAUSS1",0.91,"power"
8,0.8,"LAP1",0.68,"power"
8,0.8,"GAUSS5",0.85,"power"
8,0.8,"LAP5",0.89,"power"
8,0.8,"MIXED",0.87,"power"
8,1,"GAUSS1",0.65,"power"
8,1,"LAP1",0.47,"power"
8,1,"GAUSS5",0.52,"power"
8,1,"LAP5",0.57,"power"
8,1,"MIXED",0.55,"power"
9,0,"GAUSS1",0.92,"power"
9,0,"LAP1",0.59,"power"
9,0,"GAUSS5",0.92,"power"
9,0,"LAP5",0.93,"power"
9,0,"MIXED",0.92,"power"
9,0.2,"GAUSS1",0.97,"power"
9,0.2,"LAP1",0.7,"power"
9,0.2,"GAUSS5",0.88,"power"
9,0.2,"LAP5",0.96,"power"
9,0.2,"MIXED",0.9,"power"
9,0.4,"GAUSS1",1,"power"
9,0.4,"LAP1",0.83,"power"
9,0.4,"GAUSS5",0.95,"power"
9,0.4,"LAP5",0.98,"power"
9,0.4,"MIXED",0.96,"power"
9,0.6,"GAUSS1",0.99,"power"
9,0.6,"LAP1",0.9,"power"
9,0.6,"GAUSS5",0.97,"power"
9,0.6,"LAP5",0.98,"power"
9,0.6,"MIXED",0.97,"power"
9,0.8,"GAUSS1",0.88,"power"
9,0.8,"LAP1",0.75,"power"
9,0.8,"GAUSS5",0.81,"power"
9,0.8,"LAP5",0.88,"power"
9,0.8,"MIXED",0.83,"power"
9,1,"GAUSS1",0.58,"power"
9,1,"LAP1",0.3,"power"
9,1,"GAUSS5",0.38,"power"
9,1,"LAP5",0.41,"power"
9,1,"MIXED",0.37,"power"
10,0,"GAUSS1",0.97,"power"
10,0,"LAP1",0.62,"power"
10,0,"GAUSS5",0.91,"power"
10,0,"LAP5",0.95,"power"
10,0,"MIXED",0.95,"power"
10,0.2,"GAUSS1",0.94,"power"
10,0.2,"LAP1",0.68,"power"
10,0.2,"GAUSS5",0.84,"power"
10,0.2,"LAP5",0.86,"power"
10,0.2,"MIXED",0.83,"power"
10,0.4,"GAUSS1",0.95,"power"
10,0.4,"LAP1",0.75,"power"
10,0.4,"GAUSS5",0.94,"power"
10,0.4,"LAP5",0.98,"power"
10,0.4,"MIXED",0.95,"power"
10,0.6,"GAUSS1",0.95,"power"
10,0.6,"LAP1",0.88,"power"
10,0.6,"GAUSS5",0.97,"power"
10,0.6,"LAP5",0.98,"power"
10,0.6,"MIXED",0.96,"power"
10,0.8,"GAUSS1",0.89,"power"
10,0.8,"LAP1",0.7,"power"
10,0.8,"GAUSS5",0.8,"power"
10,0.8,"LAP5",0.83,"power"
10,0.8,"MIXED",0.81,"power"
10,1,"GAUSS1",0.57,"power"
10,1,"LAP1",0.34,"power"
10,1,"GAUSS5",0.44,"power"
10,1,"LAP5",0.46,"power"
10,1,"MIXED",0.43,"power"
