method_label,sample_size,scenario,noise_sigma,metric_mean,metric_se,n_rep
CLIP + GAUSS5,30,power,0.0,0.0125,0.0125,4
DINOv2 + GAUSS5,30,power,0.0,0.0375,0.0125,4
Raw Pixel + GAUSS5,30,power,0.0,0.125,0.025,4
CLIP + GAUSS5,60,power,0.0,0.0625,0.0239356776939085,4
DINOv2 + GAUSS5,60,power,0.0,0.1875,0.0314576434802948,4
Raw Pixel + GAUSS5,60,power,0.0,0.1124999999999999,0.0800390529679106,4
CLIP + GAUSS5,90,power,0.0,0.2,0.0288675134594813,4
DINOv2 + GAUSS5,90,power,0.0,0.475,0.0629152869605896,4
Raw Pixel + GAUSS5,90,power,0.0,0.175,0.0433012701892219,4
CLIP + GAUSS5,120,power,0.0,0.5,0.0204124145231932,4
DINOv2 + GAUSS5,120,power,0.0,0.875,0.0433012701892219,4
Raw Pixel + GAUSS5,120,power,0.0,0.2375,0.0688446318410762,4
CLIP + GAUSS5,150,power,0.0,0.75,0.067700320038633,4
DINOv2 + GAUSS5,150,power,0.0,0.9875,0.0125,4
Raw Pixel + GAUSS5,150,power,0.0,0.3,0.067700320038633,4
CLIP + GAUSS5,30,type1_a,0.0,0.05,0.0288675134594813,4
DINOv2 + GAUSS5,30,type1_a,0.0,0.0625,0.0239356776939085,4
Raw Pixel + GAUSS5,30,type1_a,0.0,0.025,0.0144337567297406,4
CLIP + GAUSS5,60,type1_a,0.0,0.0125,0.0125,4
DINOv2 + GAUSS5,60,type1_a,0.0,0.0625,0.0239356776939085,4
Raw Pixel + GAUSS5,60,type1_a,0.0,0.0125,0.0125,4
CLIP + GAUSS5,90,type1_a,0.0,0.025,0.0144337567297406,4
DINOv2 + GAUSS5,90,type1_a,0.0,0.05,0.0204124145231932,4
Raw Pixel + GAUSS5,90,type1_a,0.0,0.075,0.0478713553878169,4
CLIP + GAUSS5,120,type1_a,0.0,0.0,0.0,4
DINOv2 + GAUSS5,120,type1_a,0.0,0.0,0.0,4
Raw Pixel + GAUSS5,120,type1_a,0.0,0.0125,0.0125,4
CLIP + GAUSS5,150,type1_a,0.0,0.0125,0.0125,4
DINOv2 + GAUSS5,150,type1_a,0.0,0.025,0.0144337567297406,4
Raw Pixel + GAUSS5,150,type1_a,0.0,0.0375,0.0239356776939084,4
CLIP + GAUSS5,30,type1_b,0.0,0.05,0.0204124145231932,4
DINOv2 + GAUSS5,30,type1_b,0.0,0.05,0.0,4
Raw Pixel + GAUSS5,30,type1_b,0.0,0.075,0.025,4
CLIP + GAUSS5,60,type1_b,0.0,0.0375,0.0239356776939085,4
DINOv2 + GAUSS5,60,type1_b,0.0,0.0625,0.0314576434802948,4
Raw Pixel + GAUSS5,60,type1_b,0.0,0.0125,0.0125,4
CLIP + GAUSS5,90,type1_b,0.0,0.0125,0.0125,4
DINOv2 + GAUSS5,90,type1_b,0.0,0.0125,0.0125,4
Raw Pixel + GAUSS5,90,type1_b,0.0,0.025,0.0144337567297406,4
CLIP + GAUSS5,120,type1_b,0.0,0.025,0.025,4
DINOv2 + GAUSS5,120,type1_b,0.0,0.0125,0.0125,4
Raw Pixel + GAUSS5,120,type1_b,0.0,0.025,0.0144337567297406,4
CLIP + GAUSS5,150,type1_b,0.0,0.0,0.0,4
DINOv2 + GAUSS5,150,type1_b,0.0,0.025,0.0144337567297406,4
Raw Pixel + GAUSS5,150,type1_b,0.0,0.025,0.0144337567297406,4
CNN Final FC128 + GAUSS5,30,power,0.0,0.1,0.0204124145231931,4
CNN Final FC128 + GAUSS5,30,type1_a,0.0,0.05,0.0204124145231932,4
CNN Final FC128 + GAUSS5,30,type1_b,0.0,0.0625,0.0375,4
CNN Final FC128 + GAUSS5,60,power,0.0,0.2875,0.0125,4
CNN Final FC128 + GAUSS5,60,type1_a,0.0,0.0375,0.0239356776939085,4
CNN Final FC128 + GAUSS5,60,type1_b,0.0,0.0375,0.0125,4
CNN Final FC128 + GAUSS5,90,power,0.0,0.575,0.103077640640442,4
CNN Final FC128 + GAUSS5,90,type1_a,0.0,0.0625,0.0125,4
CNN Final FC128 + GAUSS5,90,type1_b,0.0,0.0125,0.0125,4
CNN Final FC128 + GAUSS5,120,power,0.0,0.7375,0.0515388203202208,4
CNN Final FC128 + GAUSS5,120,type1_a,0.0,0.0875,0.0375,4
CNN Final FC128 + GAUSS5,120,type1_b,0.0,0.025,0.0144337567297406,4
CNN Final FC128 + GAUSS5,150,power,0.0,0.875,0.0478713553878169,4
CNN Final FC128 + GAUSS5,150,type1_a,0.0,0.0625,0.0239356776939085,4
CNN Final FC128 + GAUSS5,150,type1_b,0.0,0.0125,0.0125,4
